link,date,time,p1 breakbar start,p1 breakbar end,p1 end,s1 start,s1 add1 death,s1 add2 death,s1 add3 death,s1 add4 death,p2 start,p2 breakbar start,p2 breakbar end,p2 end,s2 start,s2 add1 death,s2 add2 death,s2 add3 death,s2 add4 death,p3 start,p3 breakbar start,p3 breakbar end,p3 end
https://dps.report/zNSA-20230908-191159_gors,2023.09.08,19:11:59,12.768,12.988,,,,,,,,,,,,,,,,,,,
https://dps.report/5dhT-20230908-191334_gors,2023.09.08,19:13:34,12.134,12.375,,,,,,,,,,,,,,,,,,,
https://dps.report/sozQ-20230908-191531_gors,2023.09.08,19:15:31,12.644,12.864,,,,,,,,,,,,,,,,,,,
https://dps.report/zDdd-20230908-191647_gors,2023.09.08,19:16:47,12.923,13.167,,,,,,,,,,,,,,,,,,,
https://dps.report/wlr7-20230908-191814_gors,2023.09.08,19:18:14,12.193,12.448,,,,,,,,,,,,,,,,,,,
https://dps.report/ZDW6-20230908-192146_gors,2023.09.08,19:21:46,12.128,12.373,,,,,,,,,,,,,,,,,,,
https://dps.report/yBWP-20230908-192345_gors,2023.09.08,19:23:45,12.476,12.732,22.641,23.68,,,,,,,,,,,,,,,,,
https://dps.report/9ThE-20230908-192825_gors,2023.09.08,19:28:25,12.572,12.813,,,,,,,,,,,,,,,,,,,
https://dps.report/XTJh-20230908-193033_gors,2023.09.08,19:30:33,12.438,12.679,21.569,22.571,41.709,47.002,44.009,46.602,46.968,66.089,66.32,,,,,,,,,,
https://dps.report/tVdU-20230908-193322_gors,2023.09.08,19:33:22,14.166,14.41,21.89,22.853,42.635,46.825,39.93,45.333,46.747,65.649,65.903,74.479,76.422,,,,,,,,
https://dps.report/PJMN-20230908-193632_gors,2023.09.08,19:36:32,12.491,12.731,23.095,24.847,43.394,49.287,45.999,47.78,49.178,68.332,68.586,78.92,79.09,97.095,,,,107.881,,,
https://dps.report/EIYR-20230908-194030_gors,2023.09.08,19:40:30,12.116,12.362,22.398,23.396,47.188,41.999,44.602,47.385,47.355,66.242,66.461,,,,,,,,,,
https://dps.report/XMja-20230908-194447_gors,2023.09.08,19:44:47,12.678,12.918,23.642,24.677,43.856,46.249,40.446,47.649,47.611,66.997,67.245,74.71,76.277,103.553,99.66,99.66,101.768,103.436,119.268,119.535,
https://dps.report/rhoi-20230908-194742_gors,2023.09.08,19:47:42,12.455,12.678,24.495,25.689,44.574,47.141,42.24,44.44,47.07,65.821,66.069,73.965,75.501,99.555,,,,99.938,,,
https://dps.report/sNmg-20230908-195307_gors,2023.09.08,19:53:07,13.026,13.247,23.338,24.32,43.521,47.022,42.129,46.027,46.934,65.621,65.864,75.049,75.479,101.339,103.54,104.535,93.234,104.459,121.153,121.363,
https://dps.report/DdwV-20230908-195810_gors,2023.09.08,19:58:10,12.683,12.922,23.233,24.918,37.763,44.875,43.372,42.763,44.842,66.108,66.34,,,,,,,,,,
https://dps.report/kPYa-20230908-200045_gors,2023.09.08,20:00:45,14.046,14.241,23.829,24.955,41.496,45.788,47.399,48.695,48.679,67.569,67.805,80.35,81.028,,,,,,,,
https://dps.report/jwWw-20230908-200426_gors,2023.09.08,20:04:26,12.556,12.809,24.16,25.635,43.798,46.706,42.504,46.603,46.658,65.55,65.815,,,,,,,,,,
https://dps.report/HYoB-20230908-200645_gors,2023.09.08,20:06:45,12.677,12.931,,,,,,,,,,,,,,,,,,,
https://dps.report/ltQK-20230908-200903_gors,2023.09.08,20:09:03,13.956,14.198,22.173,23.11,38.135,41.842,44.954,43.246,44.851,63.643,63.894,,,,,,,,,,
https://dps.report/GPQn-20230908-201246_gors,2023.09.08,20:12:46,14.096,14.34,23.605,24.595,39.863,43.559,44.174,41.761,44.137,62.714,62.964,73.734,73.874,96.763,91.561,95.362,94.762,96.653,113.006,113.234,
https://dps.report/sX0i-20230908-201618_gors,2023.09.08,20:16:18,12.307,12.544,,,,,,,,,,,,,,,,,,,
https://dps.report/zB91-20230908-201720_gors,2023.09.08,20:17:20,12.332,12.564,,,,,,,,,,,,,,,,,,,
https://dps.report/xwBd-20230908-201919_gors,2023.09.08,20:19:19,12.618,12.85,21.775,22.768,37.945,39.842,40.65,42.145,42.11,61.327,61.58,,,,,,,,,,
https://dps.report/3fqg-20230908-202034_gors,2023.09.08,20:20:34,12.323,12.556,,,,,,,,,,,,,,,,,,,
https://dps.report/2m1R-20230908-202243_gors,2023.09.08,20:22:43,12.235,12.472,22.325,23.587,37.192,42.085,39.19,43.293,43.164,62.229,62.482,71.741,72.161,,,,,,,,
https://dps.report/tjYp-20230908-202359_gors,2023.09.08,20:23:59,12.196,12.43,,,,,,,,,,,,,,,,,,,
https://dps.report/EaA1-20230908-202712_gors,2023.09.08,20:27:12,12.533,12.766,21.646,22.647,37.713,38.613,40.82,44.318,44.281,65.644,65.873,72.049,75.157,96.821,92.625,100.629,99.914,100.568,116.791,117.046,124.733
https://dps.report/MuVd-20230915-191136_gors,2023.09.15,19:11:36,12.355,12.601,,,,,,,,,,,,,,,,,,,
https://dps.report/Hzaw-20230915-191421_gors,2023.09.15,19:14:21,14.444,14.684,25.115,26.151,41.946,,,,,,,,,,,,,,,,
https://dps.report/83xa-20230915-191553_gors,2023.09.15,19:15:53,,,,,,,,,,,,,,,,,,,,,
https://dps.report/quPi-20230915-191738_gors,2023.09.15,19:17:38,14.916,15.164,,,,,,,,,,,,,,,,,,,
https://dps.report/vW4z-20230915-191912_gors,2023.09.15,19:19:12,13.605,13.841,22.604,23.212,,,,,,,,,,,,,,,,,
https://dps.report/dyn2-20230915-192110_gors,2023.09.15,19:21:10,13.512,13.754,21.553,21.708,34.795,34.087,37.089,39.909,39.89,59.07,59.318,65.66,65.845,,,,,,,,
https://dps.report/GKxR-20230915-192306_gors,2023.09.15,19:23:06,14.201,14.454,,,,,,,,,,,,,,,,,,,
https://dps.report/z3zq-20230915-192510_gors,2023.09.15,19:25:10,12.202,12.457,22.56,23.161,35.532,37.721,39.932,40.226,40.133,58.693,58.928,69.93,70.096,,,,,,,,
https://dps.report/n8VS-20230915-192755_gors,2023.09.15,19:27:55,14.283,14.527,20.789,22.484,35.602,35.299,35.001,35.096,35.519,54.642,54.881,62.851,63.841,79.999,83.714,79.31,75.8,83.686,99.555,99.808,
https://dps.report/06PP-20230915-193154_gors,2023.09.15,19:31:54,14.24,14.492,20.794,21.73,34.289,34.078,35.715,34.585,35.565,54.121,54.369,61.377,63.146,79.496,87.776,79.78,81.199,87.732,104.038,104.275,110.614
https://dps.report/O1pI-20230915-193541_gors,2023.09.15,19:35:41,14.482,14.716,21.139,22.108,33.528,34.928,33.827,37.662,37.521,56.476,56.717,64.397,66.401,81.938,82.834,79.129,86.154,86.075,102.006,102.234,
https://dps.report/YUrs-20230915-193736_gors,2023.09.15,19:37:36,14.038,14.265,,,,,,,,,,,,,,,,,,,
https://dps.report/OD74-20230915-194027_gors,2023.09.15,19:40:27,12.731,12.956,21.529,22.175,36.569,34.565,38.467,37.667,38.452,57.486,57.742,64.014,64.963,84.6,79.365,78.767,78.368,84.498,100.865,101.098,108.496
https://dps.report/wbaf-20230915-194234_gors,2023.09.15,19:42:34,13.365,13.525,21.043,21.197,33.215,36.622,39.318,36.622,39.248,58.083,58.333,65.681,,,,,,,,,
https://dps.report/GHyP-20230915-194518_gors,2023.09.15,19:45:18,13.959,14.2,,,,,,,,,,,,,,,,,,,
https://dps.report/ZcCQ-20230915-194802_gors,2023.09.15,19:48:02,12.935,13.171,19.815,20.212,34.554,32.94,37.14,35.443,37.058,55.983,56.208,61.378,63.618,80.045,77.169,79.462,75.158,79.981,96.26,96.499,
https://dps.report/Hlsn-20230915-195055_gors,2023.09.15,19:50:55,13.927,14.152,20.321,21.223,32.999,36.302,36.603,36.411,36.56,55.442,55.676,61.041,62.71,82.719,76.697,74.911,75.6,82.591,99.323,99.35,
https://dps.report/lXxk-20230915-195429_gors,2023.09.15,19:54:29,13.393,13.639,20.565,20.831,,,,,,,,,,,,,,,,,
https://dps.report/7gTr-20230915-195715_gors,2023.09.15,19:57:15,13.002,13.243,20.683,20.851,32.12,33.416,36.606,35.807,36.529,55.56,55.815,61.726,63.316,80.92,79.212,78.313,78.724,80.846,96.976,97.205,106.247
https://dps.report/KiO9-20230915-195836_gors,2023.09.15,19:58:36,13.959,14.185,,,,,,,,,,,,,,,,,,,
https://dps.report/HUpd-20230915-200135_gors,2023.09.15,20:01:35,14.306,14.529,21.325,21.878,32.831,33.936,38.751,36.559,38.61,57.942,58.167,63.484,66.448,80.839,80.138,76.23,78.845,80.695,96.851,97.084,
https://dps.report/uzjw-20230915-200244_gors,2023.09.15,20:02:44,14.129,14.38,,,,,,,,,,,,,,,,,,,
https://dps.report/ongc-20230915-200519_gors,2023.09.15,20:05:19,14.639,14.879,20.981,22.397,34.607,32.311,38.309,37.512,38.252,57.031,57.278,62.747,64.805,79.432,82.421,77.528,81.914,82.322,98.668,98.918,107.959
https://dps.report/t40l-20230915-201427_gors,2023.09.15,20:14:27,13.983,14.224,20.566,21.813,36.118,35.131,39.732,33.533,39.691,,,,,,,,,,,,
https://dps.report/Lg9M-20230915-201546_gors,2023.09.15,20:15:46,13.103,13.335,,,,,,,,,,,,,,,,,,,
https://dps.report/EIOB-20230915-201832_gors,2023.09.15,20:18:32,12.689,12.931,21.556,21.713,34.283,35.172,37.09,37.276,37.216,56.006,56.256,62.237,63.52,81.534,81.534,76.089,76.181,81.478,97.555,97.809,106.503
https://dps.report/HE44-20230915-202135_gors,2023.09.15,20:21:35,14.781,15.018,,,,,,,,,,,,,,,,,,,
