link,date,time,lamp 1,lamp 2,lamp 3
https://dps.report/UjEF-20231119-161053_qadim,2023.11.19,16:10:53,,,
https://dps.report/KJOs-20231119-161257_qadim,2023.11.19,16:12:57,,,
https://dps.report/ukJ1-20231119-162042_qadim,2023.11.19,16:20:42,60.36,71.005,
https://dps.report/tCWb-20231119-162258_qadim,2023.11.19,16:22:58,,,
https://dps.report/gUrY-20231119-162409_qadim,2023.11.19,16:24:09,,,
https://dps.report/VXap-20231119-162550_qadim,2023.11.19,16:25:50,,,
https://dps.report/hEus-20231119-162721_qadim,2023.11.19,16:27:21,,,
https://dps.report/GXp4-20231119-162918_qadim,2023.11.19,16:29:18,,,
https://dps.report/0L39-20231119-163136_qadim,2023.11.19,16:31:36,,,
https://dps.report/dmez-20231119-163902_qadim,2023.11.19,16:39:02,83.65,77.683,
https://dps.report/DNOu-20231119-164043_qadim,2023.11.19,16:40:43,,,
https://dps.report/aCpp-20231119-164538_qadim,2023.11.19,16:45:38,73.369,74.633,
https://dps.report/vNFZ-20231119-165356_qadim,2023.11.19,16:53:56,67.167,85.468,
https://dps.report/uyLA-20231119-170217_qadim,2023.11.19,17:02:17,68.087,,
https://dps.report/kgiQ-20231119-170437_qadim,2023.11.19,17:04:37,,,
https://dps.report/1bf2-20231119-170903_qadim,2023.11.19,17:09:03,62.486,,
https://dps.report/FJvs-20231119-171119_qadim,2023.11.19,17:11:19,,,
https://dps.report/HCBp-20231119-171222_qadim,2023.11.19,17:12:22,,,
https://dps.report/PdWg-20231119-171418_qadim,2023.11.19,17:14:18,,,
https://dps.report/xQzs-20231119-172043_qadim,2023.11.19,17:20:43,66.984,81.238,
https://dps.report/4iew-20231119-173020_qadim,2023.11.19,17:30:20,61.898,57.311,120.65
https://dps.report/p7Mx-20231119-173652_qadim,2023.11.19,17:36:52,,,
https://dps.report/CCNh-20231119-173958_qadim,2023.11.19,17:39:58,,,
https://dps.report/Uk55-20231119-174235_qadim,2023.11.19,17:42:35,,,
https://dps.report/UG29-20231119-174354_qadim,2023.11.19,17:43:54,,,
https://dps.report/GD99-20231119-174555_qadim,2023.11.19,17:45:55,,,
https://dps.report/IsLd-20231119-175028_qadim,2023.11.19,17:50:28,73.371,,
https://dps.report/olUW-20231119-175241_qadim,2023.11.19,17:52:41,,,
https://dps.report/ckKO-20231119-180103_qadim,2023.11.19,18:01:03,68.468,93.0,
https://dps.report/10Z0-20231202-161320_qadim,2023.12.02,16:13:20,,,
https://dps.report/6inV-20231202-161518_qadim,2023.12.02,16:15:18,,,
https://dps.report/J0qw-20231202-162150_qadim,2023.12.02,16:21:50,55.433,69.249,
https://dps.report/ELhH-20231202-162552_qadim,2023.12.02,16:25:52,61.724,,
https://dps.report/hSSM-20231202-163358_qadim,2023.12.02,16:33:58,67.449,77.872,
https://dps.report/UCIp-20231202-164205_qadim,2023.12.02,16:42:05,61.132,73.634,
https://dps.report/5xM1-20231202-164545_qadim,2023.12.02,16:45:45,63.522,,
https://dps.report/UIOT-20231202-165415_qadim,2023.12.02,16:54:15,56.43,68.892,
https://dps.report/XSMB-20231202-170254_qadim,2023.12.02,17:02:54,,,
https://dps.report/1Bzx-20231202-170459_qadim,2023.12.02,17:04:59,,,
https://dps.report/FalU-20231202-171109_qadim,2023.12.02,17:11:09,61.287,74.665,
https://dps.report/HYuf-20231202-171542_qadim,2023.12.02,17:15:42,65.243,,
https://dps.report/EVW6-20231202-172135_qadim,2023.12.02,17:21:35,57.796,65.44,
https://dps.report/pooM-20231202-172551_qadim,2023.12.02,17:25:51,58.324,,
https://dps.report/zTIM-20231202-173414_qadim,2023.12.02,17:34:14,59.674,71.124,
https://dps.report/tNcM-20231202-174217_qadim,2023.12.02,17:42:17,60.91,,
https://dps.report/Q5iA-20231202-174949_qadim,2023.12.02,17:49:49,63.755,70.319,
https://dps.report/GLVl-20231202-175056_qadim,2023.12.02,17:50:56,,,
https://dps.report/2lpO-20231202-175138_qadim,2023.12.02,17:51:38,,,
https://dps.report/rDEg-20231202-175501_qadim,2023.12.02,17:55:01,56.551,,
https://dps.report/2a1E-20231202-180221_qadim,2023.12.02,18:02:21,63.031,66.323,
https://dps.report/2356-20231202-180429_qadim,2023.12.02,18:04:29,,,
https://dps.report/6fGJ-20231202-181109_qadim,2023.12.02,18:11:09,57.973,67.834,
https://dps.report/sT7z-20231202-181448_qadim,2023.12.02,18:14:48,56.354,,
https://dps.report/Ykvp-20231202-182030_qadim,2023.12.02,18:20:30,60.004,63.47,
