link,date,time,score,length 1,damage 1,source 1,length 2,damage 2,source 2,length 3,damage 3,source 3,length 4,damage 4,source 4,length 5,damage 5,source 5,length 6,damage 6,source 6,length 7,damage 7,source 7,length 8,damage 8,source 8,length 9,damage 9,source 9
https://dps.report/5EYT-20231015-211948_sam,2023.10.15,21:19:48,3075.25,5.699,4524.0,KarlFranzOtto.7863,,,,,,,,,,,,,,,,,,,,,,,,
https://dps.report/GTWN-20231015-212138_sam,2023.10.15,21:21:38,1077.25,3.301,1902.5,KarlFranzOtto.7863,,,,,,,,,,,,,,,,,,,,,,,,
https://dps.report/bxUK-20231015-212304_sam,2023.10.15,21:23:04,3399.5,4.402,4524.0,KarlFranzOtto.7863,,,,,,,,,,,,,,,,,,,,,,,,
https://dps.report/bThG-20231021-211909_sam,2023.10.21,21:19:09,5290.25,4.499,4318.0,Rosenrot.1293,7.798,4046.5,Icetea.3204,,,,,,,,,,,,,,,,,,,,,
https://dps.report/ExUK-20231021-212040_sam,2023.10.21,21:20:40,2412.0,7.702,4337.5,Rosenrot.1293,,,,,,,,,,,,,,,,,,,,,,,,
https://dps.report/86nS-20231021-212335_sam,2023.10.21,21:23:35,8556.0,4.599,4318.0,Rosenrot.1293,6.686,4644.0,Icetea.3204,5.899,4034.0,KarlFranzOtto.7863,,,,,,,,,,,,,,,,,,
https://dps.report/FyTj-20231021-212624_sam,2023.10.21,21:26:24,9358.75,4.904,4381.0,Rosenrot.1293,5.091,4499.0,KarlFranzOtto.7863,6.09,4544.0,Icetea.3204,,,,,,,,,,,,,,,,,,
https://dps.report/MhOh-20231021-212916_sam,2023.10.21,21:29:16,9981.25,4.002,4481.0,Rosenrot.1293,5.194,4644.0,Icetea.3204,4.803,4824.0,KarlFranzOtto.7863,,,,,,,,,,,,,,,,,,
https://dps.report/o0uj-20231021-213158_sam,2023.10.21,21:31:58,3694.0,8.9,3945.5,Rosenrot.1293,7.906,4544.0,Icetea.3204,5.1,725.0,KarlFranzOtto.7863,,,,,,,,,,,,,,,,,,
https://dps.report/Su9F-20231021-213420_sam,2023.10.21,21:34:20,8709.25,5.695,4481.0,Rosenrot.1293,4.298,4499.0,KarlFranzOtto.7863,6.006,3729.0,Icetea.3204,,,,,,,,,,,,,,,,,,
https://dps.report/HvSJ-20231021-213650_sam,2023.10.21,21:36:50,9613.75,5.203,4644.0,Rosenrot.1293,5.496,4419.0,Icetea.3204,4.118,4399.0,KarlFranzOtto.7863,,,,,,,,,,,,,,,,,,
https://dps.report/jy3j-20231021-213859_sam,2023.10.21,21:38:59,4097.5,7.906,4073.5,Rosenrot.1293,4.194,3049.0,Icetea.3204,,,,,,,,,,,,,,,,,,,,,
https://dps.report/wxIi-20231021-214124_sam,2023.10.21,21:41:24,9507.25,4.703,4644.0,Rosenrot.1293,6.385,4481.0,Icetea.3204,4.003,4299.0,KarlFranzOtto.7863,,,,,,,,,,,,,,,,,,
