link,date,time,stacks P1,stacks P2,final percent,final stacks,barrier applications,total barrier,downstates
https://dps.report/xv7u-20240305-201558_cerus,2024.03.05,20:15:58,,,84.52,11,7,803449,1
https://dps.report/xiS2-20240305-201815_cerus,2024.03.05,20:18:15,,,88.13,10,3,1102840,2
https://dps.report/DCYq-20240305-202217_cerus,2024.03.05,20:22:17,9,,69.28,32,17,2452785,7
https://dps.report/c6dI-20240305-202856_cerus,2024.03.05,20:28:56,6,,63.55,16,14,1760233,6
https://dps.report/jsv3-20240305-203428_cerus,2024.03.05,20:34:28,7,,56.99,25,9,3019016,8
https://dps.report/STbz-20240305-204203_cerus,2024.03.05,20:42:03,10,,64.84,20,6,1695053,3
https://dps.report/DrzN-20240305-204320_cerus,2024.03.05,20:43:20,,,93.72,0,0,0,0
https://dps.report/l8R1-20240305-204723_cerus,2024.03.05,20:47:23,7,,65.49,28,8,1286748,2
https://dps.report/UDQ5-20240305-204956_cerus,2024.03.05,20:49:56,,,87.68,23,10,1357207,10
https://dps.report/JZMQ-20240305-205510_cerus,2024.03.05,20:55:10,7,,58.92,31,5,782923,6
https://dps.report/xOY8-20240305-205930_cerus,2024.03.05,20:59:30,1,,65.87,18,9,1887881,2
https://dps.report/JdBo-20240305-210809_cerus,2024.03.05,21:08:09,2,,59.0,7,9,686242,0
https://dps.report/U5Uo-20240305-211502_cerus,2024.03.05,21:15:02,5,11,49.48,18,14,859769,3
https://dps.report/uNaJ-20240305-211910_cerus,2024.03.05,21:19:10,1,,78.51,11,3,9755,0
https://dps.report/I094-20240305-212849_cerus,2024.03.05,21:28:49,1,,54.65,9,4,967586,0
https://dps.report/6yLx-20240305-213528_cerus,2024.03.05,21:35:28,1,11,48.76,22,12,2031503,2
https://dps.report/ptCJ-20240305-214219_cerus,2024.03.05,21:42:19,3,,60.72,15,5,1831907,4
https://dps.report/9tbp-20240305-214458_cerus,2024.03.05,21:44:58,0,,78.71,10,0,0,0
https://dps.report/TP38-20240305-215035_cerus,2024.03.05,21:50:35,0,,59.43,18,22,1322774,0
