link,date,time,log start,p1 start,lift 1 start,erratic energy 1,pylon flip 1 start,pylon flip 1 end,lift 1 end,p2 start,lift 2 start,erratic energy 2,pylon flip 2 start,pylon flip 2 end,lift 2 end,p3 start,40% time,charge north,erratic energy 3,cc_before_40%,hp after charge 1,hp after charge 2,hp after knockback 1,hp after knockback 2,erratic energy 4,erratic energy 5
https://dps.report/ZXQF-20231202-193012_qpeer,2023.12.02,19:30:12,32653987,32674635,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,0.0,False,nan,nan,nan,nan,0.0,0.0
https://dps.report/lVrI-20231202-193131_qpeer,2023.12.02,19:31:31,32722826,32727719,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/hdIy-20231202-193324_qpeer,2023.12.02,19:33:24,32818622,32823147,32855462,3.41,32858478,32861078,32860463,32868040,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/6NmO-20231202-193531_qpeer,2023.12.02,19:35:31,32887660,32942633,32973907,3.0,32976907,32939581,32978897,32994715,nan,nan,nan,32979506,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/CblP-20231202-194309_qpeer,2023.12.02,19:43:09,33402448,33404891,33437180,4.13,33440165,33442768,33442164,33452330,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/CaHR-20231202-194545_qpeer,2023.12.02,19:45:45,33503535,33505533,33538886,3.9,33539054,33541644,33543886,33553016,33587895,4.68,33591888,33594474,33592889,33608437,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/3Pm4-20231202-194734_qpeer,2023.12.02,19:47:34,33702476,33717527,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,0.0,False,nan,nan,nan,nan,0.0,0.0
https://dps.report/QWXO-20231202-194836_qpeer,2023.12.02,19:48:36,33761030,33766004,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/zWQ5-20231202-195104_qpeer,2023.12.02,19:51:04,33848116,33850362,33885167,4.22,33885168,33887765,33890150,33894968,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/PIT4-20231202-195211_qpeer,2023.12.02,19:52:11,33947718,33976885,nan,nan,nan,33973786,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/AIqO-20231202-195446_qpeer,2023.12.02,19:54:46,34062024,34064871,34095673,4.75,34095675,34098263,34100673,34107277,34132484,6.56,34132485,34135067,34137274,34149571,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/mMUx-20231202-195710_qpeer,2023.12.02,19:57:10,34215066,34216951,34247909,3.86,34247955,34250547,34252896,34258167,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/ISkn-20231202-195935_qpeer,2023.12.02,19:59:35,34384585,34390501,34422031,4.43,34425022,34427625,34427021,34433858,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/mLr5-20231202-200147_qpeer,2023.12.02,20:01:47,34482503,34485381,34516297,4.36,34516298,34518903,34521288,34528092,34556294,6.29,34559291,34561896,34561295,34570205,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/6yrQ-20231202-200258_qpeer,2023.12.02,20:02:58,34622700,34627986,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/YFAx-20231202-200449_qpeer,2023.12.02,20:04:49,34660825,34681819,34711911,4.8,34712821,34679094,34716896,34723260,nan,nan,nan,34715411,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/vvGr-20231202-200621_qpeer,2023.12.02,20:06:21,34833975,34837936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/suA6-20231202-200805_qpeer,2023.12.02,20:08:05,34900104,34902202,34934172,4.31,34937172,34939782,34939165,34948436,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/C7Sk-20231202-201038_qpeer,2023.12.02,20:10:38,35031242,35033365,35063442,5.21,35064243,35066856,35068441,35071046,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/IHkg-20231202-201350_qpeer,2023.12.02,20:13:50,35203913,35206007,35236928,5.21,35237007,35239600,35241914,35244955,35271440,7.59,35271442,35274043,35276428,35293199,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/FrAq-20231202-203602_qpeer,2023.12.02,20:36:02,36579358,36581887,36613895,4.1,36616878,36619470,36618875,36625796,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/7UOm-20231202-203813_qpeer,2023.12.02,20:38:13,36684406,36688883,36719346,5.07,36719510,36722113,36724349,36727020,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/dKpa-20231202-204120_qpeer,2023.12.02,20:41:20,36868400,36876390,36907284,4.86,36907429,36910033,36912269,36915478,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/0GKB-20231202-204347_qpeer,2023.12.02,20:43:47,37012345,37016944,37047825,4.38,37047826,37050437,37052823,37056068,37089832,6.43,37089832,37090874,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/olFi-20231202-204613_qpeer,2023.12.02,20:46:13,37185871,37189217,37222098,4.07,37225110,37227701,37227106,37236753,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/b3Nd-20231202-204749_qpeer,2023.12.02,20:47:49,37282146,37286993,37319433,4.64,37322421,37325021,37324304,37332983,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/2CJ0-20231202-205057_qpeer,2023.12.02,20:50:57,37435386,37438050,37468626,5.0,37469140,37471742,37473617,37476905,37503144,7.13,37503145,37505736,37507776,37520661,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/NWso-20231202-205342_qpeer,2023.12.02,20:53:42,37583502,37585350,37615426,5.06,37616176,37618781,37620409,37623933,37648409,8.12,37648411,37650996,37653406,37661893,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/3wi9-20231202-205612_qpeer,2023.12.02,20:56:12,37817968,37819957,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/FnLf-20231202-205708_qpeer,2023.12.02,20:57:08,37878680,37887173,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/r8tZ-20231202-205859_qpeer,2023.12.02,20:58:59,37958525,37962597,37994214,4.08,37997202,37999797,nan,38002927,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/Q4Z4-20231202-210059_qpeer,2023.12.02,21:00:59,38045803,38047599,38078659,4.83,38078661,38081235,38083636,38096122,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/lon9-20231202-210419_qpeer,2023.12.02,21:04:19,38203005,38204447,38235587,5.13,38235588,38238188,38240594,38243510,38270613,7.19,38270615,38273196,38275597,38280924,38306852,38311182,9.21,False,35.15,nan,nan,nan,nan,nan
https://dps.report/UX0i-20231202-210732_qpeer,2023.12.02,21:07:32,38376526,38378282,38408641,4.91,38409155,38411753,38413621,38416362,38443372,7.64,38443373,38445933,38448351,38451517,38479450,38483952,7.82,False,34.04,29.08,31.52,nan,6.37,nan
https://dps.report/An9v-20231202-211158_qpeer,2023.12.02,21:11:58,38627780,38629471,38659436,5.06,38660371,38662984,38664415,38671022,38694425,7.84,38694426,38697011,38699412,38707631,38736471,38741032,8.58,False,33.91,29.17,31.07,28.76,7.58,7.08
https://dps.report/EnlK-20231202-211420_qpeer,2023.12.02,21:14:20,38853224,38855353,38886415,4.64,38886416,38889020,38891403,38894058,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/ZEed-20231202-211811_qpeer,2023.12.02,21:18:11,39019674,39023901,39053744,5.29,39054462,39057043,39058720,39062023,39087733,7.64,39087735,39090321,39092733,39100144,39129954,39131689,7.87,False,37.71,nan,37.17,nan,7.07,nan
https://dps.report/Mwgd-20231202-212202_qpeer,2023.12.02,21:22:02,39232487,39234430,39263916,5.24,39266925,39269515,39268926,39274297,39299390,8.0,39299392,39301957,39304362,39307732,39335453,39337519,8.49,False,35.39,29.66,32.17,29.61,7.84,7.08
https://dps.report/7UhO-20231202-212609_qpeer,2023.12.02,21:26:09,39458349,39460251,39491757,5.05,39491760,39494366,39496761,39499407,39529450,7.86,39529452,39532049,39534444,39537307,39566962,39569320,8.61,False,35.97,29.46,32.76,28.64,8.02,7.65
https://dps.report/Fh64-20231203-192626_qpeer,2023.12.03,19:26:26,34195508,34204665,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/0aUF-20231203-192741_qpeer,2023.12.03,19:27:41,34292983,34300230,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/RkMG-20231203-192950_qpeer,2023.12.03,19:29:50,34360620,34362874,34393388,4.37,34393668,34396266,34398368,34407472,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/iiJt-20231203-193150_qpeer,2023.12.03,19:31:50,34514466,34517010,34548584,3.96,34551582,34554179,34553130,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/Lrfy-20231203-193432_qpeer,2023.12.03,19:34:32,34638933,34641576,34671594,4.92,34672562,34675173,34676560,34680218,34706565,7.47,34706567,34709182,34711565,34716597,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/JnZM-20231203-193618_qpeer,2023.12.03,19:36:18,34775216,34777572,34811527,4.23,34811852,34814457,34816516,34822282,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan
https://dps.report/InH3-20231203-193737_qpeer,2023.12.03,19:37:37,34890532,34899624,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,0.0,False,nan,nan,nan,nan,0.0,0.0
