link,date,time,lamp 1,lamp 2,lamp 3
https://dps.report/8qiu-20231119-161053_qadim,19.11.2023,16:10:53,nan,nan,nan
https://dps.report/POeq-20231119-161257_qadim,19.11.2023,16:12:57,nan,nan,nan
https://dps.report/yZbi-20231119-162042_qadim,19.11.2023,16:20:42,60.36,71.005,nan
https://dps.report/FvUY-20231119-162258_qadim,19.11.2023,16:22:58,nan,nan,nan
https://dps.report/4IOi-20231119-162409_qadim,19.11.2023,16:24:09,nan,nan,nan
https://dps.report/rY1P-20231119-162550_qadim,19.11.2023,16:25:50,nan,nan,nan
https://dps.report/rJPe-20231119-162721_qadim,19.11.2023,16:27:21,nan,nan,nan
https://dps.report/6hvS-20231119-162918_qadim,19.11.2023,16:29:18,nan,nan,nan
https://dps.report/CvBe-20231119-163136_qadim,19.11.2023,16:31:36,nan,nan,nan
https://dps.report/NyYG-20231119-163902_qadim,19.11.2023,16:39:02,83.65,77.683,nan
https://dps.report/QQy7-20231119-164043_qadim,19.11.2023,16:40:43,nan,nan,nan
https://dps.report/XGtq-20231119-164538_qadim,19.11.2023,16:45:38,73.369,74.633,nan
https://dps.report/pD5C-20231119-165356_qadim,19.11.2023,16:53:56,67.167,85.468,nan
https://dps.report/Tw83-20231119-170217_qadim,19.11.2023,17:02:17,68.087,nan,nan
https://dps.report/8yPl-20231119-170437_qadim,19.11.2023,17:04:37,nan,nan,nan
https://dps.report/T5Z6-20231119-170903_qadim,19.11.2023,17:09:03,62.486,nan,nan
https://dps.report/aAz3-20231119-171119_qadim,19.11.2023,17:11:19,nan,nan,nan
https://dps.report/cX3q-20231119-171222_qadim,19.11.2023,17:12:22,nan,nan,nan
https://dps.report/pgah-20231119-171418_qadim,19.11.2023,17:14:18,nan,nan,nan
https://dps.report/nkmc-20231119-172043_qadim,19.11.2023,17:20:43,66.984,81.238,nan
https://dps.report/6vAK-20231119-173020_qadim,19.11.2023,17:30:20,61.898,57.311,120.65
https://dps.report/QP5N-20231119-173652_qadim,19.11.2023,17:36:52,nan,nan,nan
https://dps.report/haF2-20231119-173958_qadim,19.11.2023,17:39:58,nan,nan,nan
https://dps.report/s0zQ-20231119-174235_qadim,19.11.2023,17:42:35,nan,nan,nan
https://dps.report/qHno-20231119-174354_qadim,19.11.2023,17:43:54,nan,nan,nan
https://dps.report/BrdH-20231119-174555_qadim,19.11.2023,17:45:55,nan,nan,nan
https://dps.report/XDkm-20231119-175028_qadim,19.11.2023,17:50:28,73.371,nan,nan
https://dps.report/JK5g-20231119-175241_qadim,19.11.2023,17:52:41,nan,nan,nan
https://dps.report/s7Ka-20231119-180103_qadim,19.11.2023,18:01:03,68.468,93.0,nan
https://dps.report/5TcV-20231202-161320_qadim,02.12.2023,16:13:20,nan,nan,nan
https://dps.report/oHnF-20231202-161518_qadim,02.12.2023,16:15:18,nan,nan,nan
https://dps.report/56zS-20231202-162150_qadim,02.12.2023,16:21:50,55.433,69.249,nan
https://dps.report/psE8-20231202-162552_qadim,02.12.2023,16:25:52,61.724,nan,nan
https://dps.report/e0uo-20231202-163358_qadim,02.12.2023,16:33:58,67.449,77.872,nan
https://dps.report/rwrh-20231202-164205_qadim,02.12.2023,16:42:05,61.132,73.634,nan
https://dps.report/awLQ-20231202-164545_qadim,02.12.2023,16:45:45,63.522,nan,nan
https://dps.report/EoOh-20231202-165415_qadim,02.12.2023,16:54:15,56.43,68.892,nan
https://dps.report/PiXi-20231202-170254_qadim,02.12.2023,17:02:54,nan,nan,nan
https://dps.report/Wsv6-20231202-170459_qadim,02.12.2023,17:04:59,nan,nan,nan
https://dps.report/atAQ-20231202-171109_qadim,02.12.2023,17:11:09,61.287,74.665,nan
https://dps.report/mPGZ-20231202-171542_qadim,02.12.2023,17:15:42,65.243,nan,nan
https://dps.report/vU0M-20231202-172135_qadim,02.12.2023,17:21:35,57.796,65.44,nan
https://dps.report/fRDs-20231202-172551_qadim,02.12.2023,17:25:51,58.324,nan,nan
https://dps.report/jNpd-20231202-173414_qadim,02.12.2023,17:34:14,59.674,71.124,nan
https://dps.report/OdwY-20231202-174217_qadim,02.12.2023,17:42:17,60.91,nan,nan
https://dps.report/LoY7-20231202-174949_qadim,02.12.2023,17:49:49,63.755,70.319,nan
https://dps.report/RR1L-20231202-175056_qadim,02.12.2023,17:50:56,nan,nan,nan
https://dps.report/ZLgb-20231202-175138_qadim,02.12.2023,17:51:38,nan,nan,nan
https://dps.report/rVJ3-20231202-175501_qadim,02.12.2023,17:55:01,56.551,nan,nan
https://dps.report/ujYH-20231202-180221_qadim,02.12.2023,18:02:21,63.031,66.323,nan
https://dps.report/z4Mn-20231202-180429_qadim,02.12.2023,18:04:29,nan,nan,nan
https://dps.report/gfVb-20231202-181109_qadim,02.12.2023,18:11:09,57.973,67.834,nan
https://dps.report/qqVx-20231202-181448_qadim,02.12.2023,18:14:48,56.354,nan,nan
https://dps.report/ZBel-20231202-182030_qadim,02.12.2023,18:20:30,60.004,63.47,nan
