link,date,time,score,length 1,damage 1,source 1,length 2,damage 2,source 2,length 3,damage 3,source 3,length 4,damage 4,source 4,length 5,damage 5,source 5,length 6,damage 6,source 6,length 7,damage 7,source 7,length 8,damage 8,source 8,length 9,damage 9,source 9
https://dps.report/21AV-20231015-211948_sam,15.10.2023,21:19:48,nan,5.699,4524.0,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/X6cc-20231015-212138_sam,15.10.2023,21:21:38,nan,3.301,1902.5,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/3lEb-20231015-212304_sam,15.10.2023,21:23:04,nan,4.402,4524.0,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/Nr4n-20231021-211909_sam,21.10.2023,21:19:09,nan,4.499,4318.0,Rosenrot.1293,7.798,4046.5,Icetea.3204,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/WHhD-20231021-212040_sam,21.10.2023,21:20:40,nan,7.702,4337.5,Rosenrot.1293,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/XlOY-20231021-212335_sam,21.10.2023,21:23:35,nan,4.599,4318.0,Rosenrot.1293,6.686,4644.0,Icetea.3204,5.899,4034.0,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/wsm5-20231021-212624_sam,21.10.2023,21:26:24,nan,4.904,4381.0,Rosenrot.1293,5.091,4499.0,KarlFranzOtto.7863,6.09,4544.0,Icetea.3204,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/qsbf-20231021-212916_sam,21.10.2023,21:29:16,nan,4.002,4481.0,Rosenrot.1293,5.194,4644.0,Icetea.3204,4.803,4824.0,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/qBYD-20231021-213158_sam,21.10.2023,21:31:58,nan,8.9,3945.5,Rosenrot.1293,7.906,4544.0,Icetea.3204,5.1,725.0,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/CvHd-20231021-213420_sam,21.10.2023,21:34:20,nan,5.695,4481.0,Rosenrot.1293,4.298,4499.0,KarlFranzOtto.7863,6.006,3729.0,Icetea.3204,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
